Dataset,Architecture,Model,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10
YAHOO,MF,Naive ERM,0.3710397580672619,0.3055367171764374,0.5321779767942977,0.6653039604443503,0.4517344209288653,0.7262962962962963
YAHOO,NCF,Naive ERM,0.3833351848737257,0.3088037967681885,0.5303312190209926,0.6639702534181441,0.44970282186948846,0.7262962962962963
YAHOO,LightGCN,Naive ERM,0.8379720368215049,0.7952356338500977,0.4478852371743966,0.6138082045692687,0.3727902704291593,0.7262962962962963
COAT,MF,Naive ERM,2.1507303106481355,1.7717773914337158,0.7257118774318014,0.8078558949343523,0.3125,0.625
COAT,NCF,Naive ERM,2.190917370232674,1.8843042850494385,0.8244669854695171,0.8796539819162454,0.3125,0.625
COAT,LightGCN,Naive ERM,1.7481755555595755,1.2289170026779175,0.6765115421393776,0.7670969549059051,0.3125,0.625
KUAIREC,MF,Naive ERM,1.805612764511827,0.6777382493019104,0.23425519635228018,0.26135939280961773,0.026474776314513598,0.05179142906571553
KUAIREC,NCF,Naive ERM,1.9628631741706137,0.9434670209884644,0.4491570813878464,0.477327505336813,0.034652554324893434,0.06764909869480547
KUAIREC,LightGCN,Naive ERM,1.7215689690053415,0.6419582962989807,0.19160159066368032,0.21863817807478256,0.024514462663482558,0.0486397566813829
