Dataset,Model,MSE,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,RMSE_Improvement_%
YAHOO,Naive ERM,0.0938361510634422,0.3063268696400011,0.2376931458711624,0.8232503103035482,0.834609730165311,0.8214246655039179,0.85882097120755,0.0
YAHOO,IPS,0.0948809534311294,0.3080275205742653,0.2382945418357849,0.8212145421841829,0.832562093037429,0.821281893859891,0.8586658457391584,-0.56
YAHOO,SNIPS,0.0941316485404968,0.306808814313567,0.2359386086463928,0.8227206444733683,0.8338113411316498,0.82164369150071,0.8589256947061487,-0.16
YAHOO,CRM,0.0938105806708335,0.3062851296926339,0.2365329265594482,0.8222756501452636,0.8334799762826062,0.8216339711199967,0.8589216718973092,0.01
YAHOO,DR,0.0942311361432075,0.3069709043919432,0.2388859540224075,0.8224923347602657,0.8341919713465791,0.8205254969630775,0.8589063503777725,-0.21
COAT,Naive ERM,0.2405745685100555,0.4904840145306017,0.3777742683887481,0.6663456239949901,0.797861697313993,0.6447742200328407,0.9758620689655172,0.0
COAT,IPS,0.2395036965608596,0.4893911488378796,0.3767348825931549,0.6579468014926084,0.788868484476005,0.6400369458128079,0.9758620689655172,0.22
COAT,SNIPS,0.2392424494028091,0.4891241656295558,0.3763470649719238,0.6459826437852098,0.7846576034239909,0.6470484400656815,0.9758620689655172,0.28
COAT,CRM,0.2412111163139343,0.4911324834644256,0.3786140978336334,0.6454185299837923,0.7844626448499621,0.627475369458128,0.9758620689655172,-0.13
COAT,DR,0.2374597936868667,0.4872984646875739,0.3758841156959533,0.6588152347993387,0.7930848915346893,0.6388793103448275,0.9758620689655172,0.65
KUAIREC,Naive ERM,8.71773863764247e-06,0.0029525816902572,0.0009939318988472,0.4101106595209569,0.4410730082649759,0.0,0.0,0.0
KUAIREC,IPS,8.526063538738526e-06,0.0029199423862019,0.0009478153078816,0.4282059084047445,0.4572997536956865,0.0,0.0,1.11
KUAIREC,SNIPS,8.70323128765449e-06,0.0029501239444563,0.0009947940707206,0.4230132770120661,0.4509163408075829,0.0,0.0,0.08
KUAIREC,CRM,8.469126441923436e-06,0.0029101763592475,0.0009470325894653,0.4262799209392626,0.4567352246599771,0.0,0.0,1.44
KUAIREC,DR,8.69819905346958e-06,0.0029492709359212,0.0009924992918968,0.4106837576249871,0.4400338538613459,0.0,0.0,0.11
AVERAGE,Naive ERM,0.11147314577071177,0.26658782195362,0.20548711538625256,0.6332355312731651,0.6911814785814268,0.4887329618455862,0.6115610133910224,0.0
AVERAGE,IPS,0.11146439201850926,0.2667795372661156,0.20532574657894045,0.6357890840271786,0.6929101104030403,0.4871062798908996,0.6115093049015585,0.25666666666666665
AVERAGE,SNIPS,0.11112760039153118,0.2662943679625263,0.20442682256301237,0.630572188423548,0.6897950951210746,0.4895640438554638,0.6115959212238886,0.06666666666666667
AVERAGE,CRM,0.11167672203706991,0.266775929838769,0.20536468566084898,0.6313247003561062,0.6915592819308484,0.4830364468593749,0.6115945802876088,0.43999999999999995
AVERAGE,DR,0.11056654267637589,0.26573954667181277,0.20525418967008588,0.6306637757281972,0.689103572247538,0.486468269102635,0.6115894731144299,0.18333333333333335
