Dataset,Architecture,NDCG@10_Naive,NDCG@10_IPS,NDCG@10_DR,Delta_IPS_minus_Naive,Delta_DR_minus_Naive,Delta_DR_minus_IPS
COAT,LightGCN,0.797861697313993,0.788868484476005,0.7930848915346893,-0.00899321283798804,-0.004776805779303728,0.004216407058684313
COAT,MF,0.7762016678284538,0.7726091531086338,0.7705889862911173,-0.003592514719820028,-0.005612681537336517,-0.002020166817516489
COAT,NCF,0.8105060394916701,0.8164035714324008,0.8185226966849041,0.005897531940730727,0.008016657193233967,0.00211912525250324
KUAIREC,LightGCN,0.4410730082649759,0.4572997536956865,0.4400338538613459,0.016226745430710565,-0.0010391544036300049,-0.01726589983434057
KUAIREC,MF,0.4096501809864835,0.4440052211590191,0.4081388686863139,0.0343550401725356,-0.0015113123001695983,-0.0358663524727052
KUAIREC,NCF,0.4708574022339083,0.4744543263538396,0.4751416872352209,0.0035969241199312885,0.00428428500131256,0.0006873608813812715
YAHOO,LightGCN,0.834609730165311,0.832562093037429,0.8341919713465791,-0.0020476371278820293,-0.0004177588187319614,0.001629878309150068
YAHOO,MF,0.8331834453981168,0.8343905654333065,0.8344335131771637,0.001207120035189635,0.001250067779046904,4.294774385726896e-05
YAHOO,NCF,0.8295030266910891,0.8298263843681051,0.8288298485536195,0.0003233576770159674,-0.0006731781374695878,-0.0009965358144855552
