Dataset,Architecture,source_file,NDCG@10_Naive,NDCG@10_IPS,DeltaNDCG@10_IPS_minus_Naive,relative_ESS,|Bias_RMSE|,|Bias_MAE|,|Bias_NDCG@5|,|Bias_NDCG@10|,|Bias_Recall@5|,|Bias_Recall@10|
COAT,LightGCN,debiasing_results_coat_lightgcn.csv,0.797861697313993,0.788868484476005,-0.00899321283798804,0.9008723213920385,1.5904,1.2787,0.0801,0.0439,0.3277,0.3509
COAT,MF,debiasing_results_coat_mf.csv,0.7762016678284538,0.7726091531086338,-0.003592514719820028,0.9008723213920385,1.5904,1.2787,0.0801,0.0439,0.3277,0.3509
COAT,NCF,debiasing_results_coat.csv,0.8105060394916701,0.8164035714324008,0.005897531940730727,0.9008723213920385,1.5904,1.2787,0.0801,0.0439,0.3277,0.3509
KUAIREC,LightGCN,debiasing_results_kuairec_lightgcn.csv,0.4410730082649759,0.4572997536956865,0.016226745430710565,0.7849609794911191,1.8271,0.7534,0.1819,0.1854,0.0255,0.0502
KUAIREC,MF,debiasing_results_kuairec_mf.csv,0.4096501809864835,0.4440052211590191,0.0343550401725356,0.7849609794911191,1.8271,0.7534,0.1819,0.1854,0.0255,0.0502
KUAIREC,UNKNOWN,debiasing_results_kuairec.csv,0.4708574022339083,0.4744543263538396,0.0035969241199312885,,1.8271,0.7534,0.1819,0.1854,0.0255,0.0502
UNKNOWN,UNKNOWN,debiasing_results.csv,0.4708574022339083,0.4744543263538396,0.0035969241199312885,,,,,,,
YAHOO,LightGCN,debiasing_results_yahoo_lightgcn.csv,0.834609730165311,0.832562093037429,-0.0020476371278820293,0.4316237693353025,0.2235,0.2309,0.3172,0.1847,0.3958,0.1323
YAHOO,MF,debiasing_results_yahoo_mf.csv,0.8331834453981168,0.8343905654333065,0.001207120035189635,0.4316237693353025,0.2235,0.2309,0.3172,0.1847,0.3958,0.1323
YAHOO,NCF,debiasing_results_yahoo.csv,0.8295030266910891,0.8298263843681051,0.0003233576770159674,0.4316237693353025,0.2235,0.2309,0.3172,0.1847,0.3958,0.1323
